ID,SUBID,ALARMLEVEL,UNITTYPE,UNITID,EQPID,DESCRIPTION,STATUS,EDITEDTIME,CLEARTIME,SETTIME
1033,,5,STKMAIN,C0STKA71,C0STKA71,OP DOOR KEY UNLOCK,1,8/19/2024 1:47:30 PM,2024-08-19 13:47:30,2024-08-19 13:43:05
654,0,0,CRANE,C0STKA71_C02,C0STKA71,Booth Reset S/W,1,8/19/2024 1:44:12 PM,2024-08-19 13:44:12,2024-08-19 13:43:06
1001,,5,STKMAIN,C0STKA71,C0STKA71,OP DOOR OPEN,1,8/19/2024 1:47:28 PM,2024-08-19 13:47:28,2024-08-19 13:43:07
1245,,5,STKMAIN,C0STKA71,C0STKA71,Optical Modem Data Receive Error (RM2),1,8/19/2024 1:43:24 PM,2024-08-19 13:43:24,2024-08-19 13:43:12
1245,,5,STKMAIN,C0STKA71,C0STKA71,Optical Modem Data Receive Error (RM2),1,8/19/2024 1:43:34 PM,2024-08-19 13:43:34,2024-08-19 13:43:26
1245,,5,STKMAIN,C0STKA71,C0STKA71,Optical Modem Data Receive Error (RM2),1,8/19/2024 1:44:00 PM,2024-08-19 13:44:00,2024-08-19 13:43:51
584,0,0,CRANE,C0STKA71_C02,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:44:46 PM,2024-08-19 13:44:46,2024-08-19 13:44:31
38,0,0,CRANE,C0STKA71_C02,C0STKA71,ETHERNET OPTICAL MODEM ERROR,1,8/19/2024 1:44:48 PM,2024-08-19 13:44:48,2024-08-19 13:44:46
584,0,0,CRANE,C0STKA71_C02,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:46:24 PM,2024-08-19 13:46:24,2024-08-19 13:46:10
584,0,0,CRANE,C0STKA71_C02,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:47:38 PM,2024-08-19 13:47:38,2024-08-19 13:47:11
1064,,5,STKMAIN,C0STKA71,C0STKA71,1 Safety Relay Reset,1,8/19/2024 1:47:31 PM,2024-08-19 13:47:31,2024-08-19 13:47:28
9900,,5,STKMAIN,C0STKA71,C0STKA71,SYSTEM STOP,1,8/19/2024 1:47:33 PM,2024-08-19 13:47:33,2024-08-19 13:47:33
510,0,0,CRANE,C0STKA71_C02,C0STKA71,PREVIOUS CRANE FAIL TO RETURNNING AN ORIGIN POINT,1,8/19/2024 1:48:38 PM,2024-08-19 13:48:38,2024-08-19 13:48:24
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:49:26 PM,2024-08-19 13:49:26,2024-08-19 13:48:33
510,0,0,CRANE,C0STKA71_C02,C0STKA71,PREVIOUS CRANE FAIL TO RETURNNING AN ORIGIN POINT,1,8/19/2024 1:48:58 PM,2024-08-19 13:48:58,2024-08-19 13:48:39
510,0,0,CRANE,C0STKA71_C02,C0STKA71,PREVIOUS CRANE FAIL TO RETURNNING AN ORIGIN POINT,1,8/19/2024 1:49:06 PM,2024-08-19 13:49:06,2024-08-19 13:48:59
510,0,0,CRANE,C0STKA71_C02,C0STKA71,PREVIOUS CRANE FAIL TO RETURNNING AN ORIGIN POINT,1,8/19/2024 1:57:59 PM,2024-08-19 13:57:59,2024-08-19 13:49:06
11,0,0,CRANE,C0STKA71_C01,C0STKA71,RM TRAVEL REVERSE LIMIT EMERGENCY STOP(BARCODE),1,8/19/2024 1:50:14 PM,2024-08-19 13:50:14,2024-08-19 13:49:27
1064,,5,STKMAIN,C0STKA71,C0STKA71,1 Safety Relay Reset,1,8/19/2024 1:50:00 PM,2024-08-19 13:50:00,2024-08-19 13:50:00
9910,,10,STKMAIN,C0STKA71,C0STKA71,No defined alarm[STKMAIN],3,8/19/2024 1:57:02 PM,2024-08-19 13:57:02,2024-08-19 13:50:00
9001,,5,STKMAIN,C0STKA71,C0STKA71,SYSTEM INTERLOCK,1,8/19/2024 1:57:02 PM,2024-08-19 13:57:02,2024-08-19 13:50:00
9900,,5,STKMAIN,C0STKA71,C0STKA71,SYSTEM STOP,1,8/19/2024 1:57:03 PM,2024-08-19 13:57:03,2024-08-19 13:50:00
1032,,5,STKMAIN,C0STKA71,C0STKA71,HP DOOR KEY UNLOCK,1,8/19/2024 1:57:01 PM,2024-08-19 13:57:01,2024-08-19 13:50:00
1000,,5,STKMAIN,C0STKA71,C0STKA71,HP DOOR OPEN,1,8/19/2024 1:56:52 PM,2024-08-19 13:56:52,2024-08-19 13:50:00
239,0,0,CRANE,C0STKA71_C01,C0STKA71,HOIST#1 SERVO READY OFF,1,8/19/2024 1:51:20 PM,2024-08-19 13:51:20,2024-08-19 13:51:13
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:51:21 PM,2024-08-19 13:51:21,2024-08-19 13:51:20
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:51:26 PM,2024-08-19 13:51:26,2024-08-19 13:51:23
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:51:42 PM,2024-08-19 13:51:42,2024-08-19 13:51:41
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:51:47 PM,2024-08-19 13:51:47,2024-08-19 13:51:44
76,0,0,CRANE,C0STKA71_C01,C0STKA71,TRAVEL BCR DATA UNCHANGED FOR TRAVEL,1,8/19/2024 1:51:57 PM,2024-08-19 13:51:57,2024-08-19 13:51:50
584,0,0,CRANE,C0STKA71_C01,C0STKA71,[MANAUL] MU GRIP SW OFF,1,8/19/2024 1:52:04 PM,2024-08-19 13:52:04,2024-08-19 13:52:03
76,0,0,CRANE,C0STKA71_C01,C0STKA71,TRAVEL BCR DATA UNCHANGED FOR TRAVEL,1,8/19/2024 1:52:17 PM,2024-08-19 13:52:17,2024-08-19 13:52:08
