EQP_ID,UNIT_ID,ERR_CD,ERR_MSG,BARCODE_ID,ERR_START_DTTM,ERR_END_DTTM
E0STKA52,E0STKA52_C01,7,Safety door and safety area error,,2024-08-25 23:23:39,2024-08-25 23:28:44
E0STKA52,E0STKA52_C01,212,Data link error in the CC-LINK,,2024-08-25 23:28:44,2024-08-25 23:29:50
E0STKA52,E0STKA52_C01,7,Safety door and safety area error,,2024-08-25 23:29:50,2024-08-25 23:29:57
E0STKA52,E0STKA52_C01,212,Data link error in the CC-LINK,,2024-08-25 23:29:57,2024-08-25 23:29:59
E0STKA52,E0STKA52_C01,236,DRIVE MC POWER ON,,2024-08-25 23:29:59,2024-08-25 23:30:04
E0STKA52,E0STKA52_C01,1,Driving emergency stop,,2024-08-25 23:30:04,2024-08-25 23:30:05
E0STKA52,E0STKA52_C01,1,Driving emergency stop,,2024-08-25 23:30:06,2024-08-25 23:30:17
E0STKA52,E0STKA52_C01,1,Driving emergency stop,,2024-08-25 23:30:21,2024-08-25 23:30:33
E0STKA52,E0STKA52_C01,97,Hoist drive error,,2024-08-25 23:30:33,2024-08-25 23:30:43
E0STKA52,E0STKA52_C01,97,Hoist drive error,,2024-08-25 23:30:43,2024-08-25 23:30:43
E0STKA52,E0STKA52_P02,1004,OP Power Supply Braker OFF,,2024-08-25 23:24:47,2024-08-25 23:32:03
E0STKA52,E0STKA52_P01,1004,OP Power Supply Braker OFF,,2024-08-25 23:24:47,2024-08-25 23:32:03
E0STKA52,E0STKA52_P02,1008,OP Power Supply Fault,,2024-08-25 23:32:03,2024-08-25 23:32:25
E0STKA52,E0STKA52_P01,1008,OP Power Supply Fault,,2024-08-25 23:32:03,2024-08-25 23:32:25
